objectid,filename,title,publisher,composer,lyricist,date,genre,subject,type,format,rights,rightsstatement
sb_0017,youll_always_be_the_same_sweet_girl.jpeg,You'll Always Be the Same Sweet Girl,Harry Von Tilzer Music Pub. Co. ,"Von Tilzer, Harry, 1872-1946","Sterling, Andrew B., 1874-1955",1915,Popular music; Ballads,Love Songs; First loves; Infatuation,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0018,sometimes_the_dream_comes_true.jpeg,Sometimes the Dream Comes True,Bernard Granville Publishing Co.,"Ward, Ted D. ","Grossmith, Edward",1915,Popular music; Ballads,Love songs; Infatuation; Dreams,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0019,my_own_Iona.jpeg,My Own Iona (Moi-One-Ionae),Joseph W. Stern & Co. ,"Friedland, Anatol, 1881-1938;  Morgan, Carey, 1885-1960","Gilbert, L. Wolfe (Louis Wolfe,) 1886-1970",1916,Popular music; Foxtrots (Music),Love songs; Desire; Lovesickness; United States--Hawaii; Hawaii,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0020,has_anybody_here_seen_kelly.jpeg,Has Anybody Here Seen Kelly?,"Francis, Day & Hunter","McKenna, William J., 1881-1950","McKenna, William J., 1881-1950",1909,Humorous songs; Novelty songs; Musicals,Ireland; New York (N.Y); Missing Persons; Humorous songs,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0021,when_I_dream_of_old_erin.jpeg,When I Dream of Old Erin (I'm Dreaming of You) ,Marvin Lee Music Co.,"Friedman, Leo, 1869-1927","Lee, Marvin, 1880-1949",1912,"Popular Music; Ballads",Love songs; Desire; Infatuation; Ireland; Dreams,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0022,isle_odreams.jpeg,Isle 'O Dreams ,M. Witmark & Sons,"Ball, Ernest R., 1878-1927","Graff, George, 1886-1973; Olcott, Chauncey, 1858-1932",1912,Popular music; Waltzes (Music); Musicals,Ireland; Patriotic Music,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0023,why_did_you_make_me_care.jpeg,Why Did You Make Me Care,Joe Morris Music Company,"Solman, Alfred, 1868-1937","Maguire, Sylvester",1912,Popular music; Dance music; Waltzes (Music),Love Song; Seperation (psychology); Sentimentalism in Music,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0024,tell_all_the_folks_in_kentucky.jpeg,Tell All the Folks in Kentucky (I'm Comin' Home),"Irving Berlin, Inc. ","Berlin, Iriving, 1888-1989","Berlin, Irving, 1888-1989",1923,Jazz; Dance music; Dixieland music,Homecoming; United States -- Kentucky; Kentucky; Home,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0025,rings.jpeg,Rings,"Irving Berlin, Inc. ","Handman, Lou, 1894- 1956","Sullivan, Alex, 1885-1956",1919,Popular music,Love song; Desire; Marriage Proposals; Courtship,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0026,take_me_back_to_the_garden_of_love.jpeg,Take Me Back to the Garden of Love,Ted Snyder Co.,"Osborne, Nathan","Goetz, E. Ray (Edward Ray), 1886-1954",1911,Ballads; Popular music,Love Song; Adultery; Remorse,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,0,,,,,,,,
